id,year,county,cause,sex,age_code,N
615,100,110,5,1,15,1
616,100,110,5,1,16,2
617,100,110,5,1,17,1
618,100,110,5,2,18,1
619,100,110,5,1,18,4
620,100,110,5,2,19,1
621,100,110,5,2,20,3
622,100,110,5,1,20,1
623,100,110,5,1,21,3
624,100,110,5,2,22,1
625,100,110,5,1,22,1
626,100,110,5,2,23,2
627,100,110,5,1,23,1
628,100,110,5,1,24,2
629,100,110,6,2,17,1
630,100,110,7,2,14,2
631,100,110,7,2,15,2
632,100,110,7,2,16,3
633,100,110,7,2,17,2
634,100,110,7,1,17,7
635,100,110,7,2,18,4
636,100,110,7,1,18,3
637,100,110,7,2,19,1
638,100,110,7,1,19,1
639,100,110,7,2,20,1
640,100,110,7,1,20,3
641,100,110,7,2,21,2
642,100,110,7,1,21,6
643,100,110,7,2,22,3
644,100,110,7,1,22,3
645,100,110,7,2,23,4
646,100,110,7,1,23,2
647,100,110,7,2,24,1
648,100,110,7,1,24,1
649,100,110,7,1,25,1
650,100,110,8,1,15,2
651,100,110,8,2,16,1
652,100,110,8,1,16,3
653,100,110,8,1,17,7
654,100,110,8,2,18,2
655,100,110,8,1,18,8
656,100,110,8,2,19,2
657,100,110,8,1,19,1
658,100,110,8,2,20,2
659,100,110,8,1,20,7
660,100,110,8,2,21,4
661,100,110,8,1,21,10
662,100,110,8,2,22,5
663,100,110,8,1,22,7
664,100,110,8,2,23,2
665,100,110,8,1,23,4
666,100,110,8,2,24,1
667,100,110,9,1,15,1
668,100,110,9,2,17,1
669,100,110,9,2,18,1
670,100,110,9,1,19,1
671,100,110,9,2,20,1
672,100,110,10,2,14,1
673,100,110,10,2,16,1
674,100,110,10,1,16,1
675,100,110,10,2,17,3
676,100,110,10,1,17,1
677,100,110,10,2,18,5
678,100,110,10,1,18,1
679,100,110,10,2,19,1
680,100,110,10,2,20,1
681,100,110,10,1,20,1
682,100,110,10,2,21,4
683,100,110,10,1,21,2
684,100,110,10,2,22,1
685,100,110,10,1,22,2
686,100,110,13,2,14,1
687,100,110,13,1,14,1
688,100,110,13,1,16,3
689,100,110,13,2,17,5
690,100,110,13,1,17,2
691,100,110,13,2,18,3
692,100,110,13,1,18,6
693,100,110,13,2,19,4
694,100,110,13,1,19,5
695,100,110,13,2,20,6
696,100,110,13,1,20,7
697,100,110,13,2,21,3
698,100,110,13,1,21,6
699,100,110,13,2,22,11
700,100,110,13,1,22,8
701,100,110,13,2,23,2
702,100,110,13,1,23,7
703,100,110,13,2,24,2
704,100,110,13,1,24,2
705,100,110,14,2,19,1
706,100,110,16,2,10,1
707,100,110,16,1,22,1
708,100,110,17,2,18,1
709,100,110,17,2,22,1
710,100,110,18,1,17,1
711,100,110,18,2,20,1
712,100,110,18,1,24,1
713,100,110,19,2,13,2
714,100,110,19,2,14,2
715,100,110,19,2,15,2
716,100,110,19,2,16,4
717,100,110,19,2,17,5
718,100,110,19,2,18,3
